canonical_term,priority_tier,core_or_fringe OR any other category suggestion?
can,Tier 3 - Reference expansion,fringe/personalizable
could,Tier 3 - Reference expansion,fringe/personalizable
day,Tier 3 - Reference expansion,fringe/personalizable
else,Tier 3 - Reference expansion,fringe/personalizable
even,Tier 3 - Reference expansion,fringe/personalizable
fall,Tier 3 - Reference expansion,fringe/personalizable
fly,Tier 3 - Reference expansion,fringe/personalizable
found,Tier 3 - Reference expansion,fringe/personalizable
had,Tier 3 - Reference expansion,fringe/personalizable
has,Tier 3 - Reference expansion,fringe/personalizable
have,Tier 3 - Reference expansion,fringe/personalizable
huh,Tier 3 - Reference expansion,fringe/personalizable
hum,Tier 3 - Reference expansion,fringe/personalizable
last,Tier 3 - Reference expansion,fringe/personalizable
leaves,Tier 3 - Reference expansion,fringe/personalizable
let,Tier 3 - Reference expansion,fringe/personalizable
let's,Tier 3 - Reference expansion,fringe/personalizable
long,Tier 3 - Reference expansion,fringe/personalizable
lot,Tier 3 - Reference expansion,fringe/personalizable
man,Tier 3 - Reference expansion,fringe/personalizable
many,Tier 3 - Reference expansion,fringe/personalizable
may,Tier 3 - Reference expansion,fringe/personalizable
maybe,Tier 3 - Reference expansion,fringe/personalizable
most,Tier 3 - Reference expansion,fringe/personalizable
move,Tier 3 - Reference expansion,fringe/personalizable
much,Tier 3 - Reference expansion,fringe/personalizable
never,Tier 3 - Reference expansion,fringe/personalizable
new,Tier 3 - Reference expansion,fringe/personalizable
next,Tier 3 - Reference expansion,fringe/personalizable
oh,Tier 3 - Reference expansion,fringe/personalizable
old,Tier 3 - Reference expansion,fringe/personalizable
one,Tier 3 - Reference expansion,fringe/personalizable
only,Tier 3 - Reference expansion,fringe/personalizable
pet,Tier 3 - Reference expansion,fringe/personalizable
really,Tier 3 - Reference expansion,fringe/personalizable
saw,Tier 3 - Reference expansion,fringe/personalizable
so,Tier 3 - Reference expansion,fringe/personalizable
three,Tier 3 - Reference expansion,fringe/personalizable
threw,Tier 3 - Reference expansion,fringe/personalizable
through,Tier 3 - Reference expansion,fringe/personalizable
today,Tier 3 - Reference expansion,fringe/personalizable
too,Tier 3 - Reference expansion,fringe/personalizable
top,Tier 3 - Reference expansion,fringe/personalizable
trees,Tier 3 - Reference expansion,fringe/personalizable
two,Tier 3 - Reference expansion,fringe/personalizable
um,Tier 3 - Reference expansion,fringe/personalizable
very,Tier 3 - Reference expansion,fringe/personalizable
wasn't,Tier 3 - Reference expansion,fringe/personalizable
way,Tier 3 - Reference expansion,fringe/personalizable
would,Tier 3 - Reference expansion,fringe/personalizable
ya,Tier 3 - Reference expansion,fringe/personalizable
yet,Tier 3 - Reference expansion,fringe/personalizable
