canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
could,could,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
day,day,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
else,else,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
even,even,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
fall,fall,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
fly,fly,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
found,found,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
had,had,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
has,has,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
have,have,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
huh,huh,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
hum,hum,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
last,last,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
leaves,leaves,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
let,let,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
let's,let's,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
long,long,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
lot,lot,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
man,man,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
many,many,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
may,may,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
maybe,maybe,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
most,most,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
move,move,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
much,much,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
never,never,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
new,new,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
next,next,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
oh,oh,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
old,old,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
one,one,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
only,only,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
pet,pet,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
really,really,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
saw,saw,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
so,so,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
three,three,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
threw,threw,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
through,through,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
today,today,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
too,too,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
top,top,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
trees,trees,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
two,two,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
um,um,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
very,very,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
wasn't,wasn't,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
way,way,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
would,would,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
ya,ya,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
yet,yet,word,Uncategorized,Marvin 330 preschool words,Marvin_Core_Word_List2.pdf,Tier 3 - Reference expansion,fringe/personalizable,word,general vocabulary,,Yes,Yes,No,,,Reference expansion from Marvin et al. 330 preschool words
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
feel,Feel,word,Actions,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,verb/action,emotional expression,,Yes,Yes,No,,,Added: restored from v1 app.js for Phase I AAC grid
food,Food,word,Food/Drink,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,noun,request,,Yes,Yes,No,,,Added: restored from v1 app.js for Phase I AAC grid
he/she,He/She,word,People/Pronouns/Possessives,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,pronoun/person,general vocabulary,,Yes,Yes,No,,,Added: restored from v1 app.js for Phase I AAC grid
school,School,word,Places,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,noun,general vocabulary,,Yes,Yes,No,,,Added: restored from v1 app.js for Phase I AAC grid
thank you,Thank You,phrase,Social,v1 app.js (orphan restore),,Tier 1 - Phase I MVP,core,word,social,,Yes,Yes,No,,,Added: restored from v1 app.js for Phase I AAC grid
