canonical_term,display_label,type,category,source,source_detail,priority_tier,core_or_fringe,part_of_speech,intent_tags,scenario_tags,allowed_for_generation,allowed_for_grid,requires_personalization,synonyms_or_variants,phrase_templates,notes
no / i don't want that,No / I don’t want that,phrase,Actions,Validation scenarios,Rejecting,Tier 2 - Faison expansion,core,verb/action,"request, refusal/protest",Rejecting,Yes,Yes,No,,,Clear refusal
one more minute,One more minute,phrase,Actions,Validation scenarios,Transition resistance,Tier 2 - Faison expansion,core,verb/action,request,Transition resistance,Yes,Yes,No,,,Negotiation
play doh,Play doh,phrase,Actions,Faison SLP collected words,Items,Tier 2 - Faison expansion,core,verb/action,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison
playground,Playground,word,Places,Faison SLP collected words,Locations,Tier 2 - Faison expansion,core,noun,request,,Yes,Yes,No,,,Typical 1 word expressions from Faison
preferred items (will vary for user-can be many of the first 50 words),Preferred items (will vary for user-can be many of the first 50 words),phrase,Actions,Faison SLP collected words,Items,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,Yes,,,Typical 1 word expressions from Faison
push,Push,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
put,Put,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
read,Read,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
run,Run,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
see,See,word,Actions,Faison SLP collected words; Marvin 330 preschool words,Actions; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
sleep,Sleep,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
slide,Slide,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
snacks (will vary for user - can be many of the first 50 words),Snacks (will vary for user - can be many of the first 50 words),phrase,Actions,Faison SLP collected words,Items,Tier 2 - Faison expansion,core,verb/action,request,,Yes,Yes,Yes,,,Typical 1 word expressions from Faison
spin,Spin,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
squeeze,squeeze,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,Tickle/squeeze,,Variant from slash-delimited Faison row
swing,Swing,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
take,Take,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
tickle,Tickle,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,Tickle/squeeze,,Variant from slash-delimited Faison row
tickle/squeeze,Tickle/squeeze,phrase,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,Yes,,,Typical 1 word expressions from Faison
too loud / i need a break,Too loud / I need a break,phrase,Actions,Validation scenarios,Overstimulated,Tier 2 - Faison expansion,core,verb/action,regulation/body need,Overstimulated,Yes,Yes,No,,,Sensory regulation
walk,Walk,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
want help,Want help,phrase,Actions,Faison SLP collected words,Early AAC user (~50 words),Tier 2 - Faison expansion,core,verb/action,"request, help-seeking",,Yes,Yes,No,Want help / want item,,Variant from slash-delimited Faison row
want help / want item,Want help / want item,phrase,Actions,Faison SLP collected words,Early AAC user (~50 words),Tier 2 - Faison expansion,core,verb/action,"request, help-seeking",,Yes,Yes,No,,,Restrict outputs to simple words only
want item,want item,phrase,Actions,Faison SLP collected words,Early AAC user (~50 words),Tier 2 - Faison expansion,core,verb/action,request,,Yes,Yes,No,Want help / want item,,Variant from slash-delimited Faison row
work,Work,word,Actions,Faison SLP collected words,Actions,Tier 2 - Faison expansion,core,verb/action,general vocabulary,,Yes,Yes,No,,,Typical 1 word expressions from Faison
ear,Ear,word,Body Parts,Faison SLP collected words,Body parts,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
eye,Eye,word,Body Parts,Faison SLP collected words,Body parts,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
hand,Hand,word,Body Parts,Faison SLP collected words; Marvin 330 preschool words,Body parts; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
leg,Leg,word,Body Parts,Faison SLP collected words,Body parts,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
nose,Nose,word,Body Parts,Faison SLP collected words,Body parts,Tier 2 - Faison expansion,fringe/personalizable,noun,"refusal/protest, description/labeling",,Yes,Yes,No,,,Typical 1 word expressions from Faison
stomach,stomach,word,Body Parts,Faison SLP collected words,Body parts,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,Tummy/stomach,,Variant from slash-delimited Faison row
coat,Coat,word,Clothing,Faison SLP collected words,Clothing Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
hat,Hat,word,Clothing,Faison SLP collected words,Clothing Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
jacket,Jacket,word,Clothing,Faison SLP collected words,Clothing Items,Tier 2 - Faison expansion,fringe/personalizable,noun,"request, description/labeling",,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
pants,Pants,word,Clothing,Faison SLP collected words,Clothing Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
shoe,Shoe,word,Clothing,Faison SLP collected words,Clothing Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
sock,Sock,word,Clothing,Faison SLP collected words,Clothing Items,Tier 2 - Faison expansion,fringe/personalizable,noun,description/labeling,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison
big,Big,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,Adjectives/Descriptors; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
black,Black,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,Colors; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
blue,Blue,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,Colors; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
fast,Fast,word,Descriptors,Faison SLP collected words,Adjectives/Descriptors,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
green,Green,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,Colors; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
i am tired,I am tired,phrase,Descriptors,Validation scenarios,Tired,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,"regulation/body need, description/labeling",Tired,Yes,Yes,No,,,Simple expression
little,Little,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,Adjectives/Descriptors; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
orange,Orange,word,Descriptors,Faison SLP collected words,Colors,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
purple,Purple,word,Descriptors,Faison SLP collected words,Colors,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
red,Red,word,Descriptors,Faison SLP collected words; Marvin 330 preschool words,Colors; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
slow,Slow,word,Descriptors,Faison SLP collected words,Adjectives/Descriptors,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
yellow,Yellow,word,Descriptors,Faison SLP collected words,Colors,Tier 2 - Faison expansion,fringe/personalizable,descriptor/adjective,description/labeling,,Yes,Yes,No,,,Typical 1 word expressions from Faison
candy,Candy,word,Food/Drink,Faison SLP collected words; Marvin 330 preschool words,Items; Marvin_Core_Word_List2.pdf,Tier 2 - Faison expansion,fringe/personalizable,noun,general vocabulary,,Yes,Yes,No,,I want ___; I need ___,Typical 1 word expressions from Faison; Reference expansion from Marvin et al. 330 preschool words
